trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.5, 'e': 0.43861750180991116}",25,6,-22.643631071050518,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.43423132679181203}",25,16,10.420317362562557,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238939}",25,0,-30.128307876531228,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.425590123388655}",35,18,-67.4159362541283,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
86,False,"{'a': 0.5, 'e': 0.42133422215476846}",30,0,-4.7793961142484775,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.4171208799332208}",25,3,-37.27869800769096,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.4129496711338886}",20,0,6.456324897288028,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.4088201744225497}",25,17,-23.719075034276596,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783242}",25,10,-12.400073060081045,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.400684652951541}",20,6,-34.15273502585038,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.3966778064220256}",20,5,-42.37745386012061,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.39271102835780536}",25,0,-90.2938476279501,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
94,False,"{'a': 0.5, 'e': 0.3887839180742273}",20,9,3.0063656325503842,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.38489607889348504}",30,0,-39.303303523614424,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.38104711810455016}",25,11,-70.60354222423236,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350467}",25,13,-29.42554736507311,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.3734642804542696}",25,2,-1.4563628222138894,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.3697296376497269}",30,20,21.069230981746273,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
